mode,energy
5012,5.225807581038968e-12
5014,3.66713686527612e-12
5394,2.6778842986053755e-12
5163,2.2521376432827635e-12
5182,2.054536240260034e-12
5175,1.862774445750037e-12
5606,1.658375205978529e-12
5391,1.5738652905671467e-12
5198,1.5197095438899615e-12
5071,8.516870382351727e-13
5214,6.140397993095886e-13
5073,5.20799420650518e-13
5161,5.01371070275815e-13
5019,4.802014408091471e-13
5017,4.4855151232598224e-13
5155,3.2729921102277773e-13
5007,3.263958140792036e-13
5567,3.134048593374192e-13
5176,2.955585364754544e-13
5386,2.9371682626609e-13
