mode,energy
1719,0.008348664193543074
1704,0.008099544337661546
1702,0.00634892186185512
1705,0.005881307606327767
1706,0.004232399639621144
1675,0.0039336007163533636
1718,0.0037121433009795297
1707,0.003433081593980711
1673,0.002994080635269577
1703,0.0024249826936328365
1691,0.0019149185689843428
1694,0.0014292424271508922
1017,0.0013216883857841415
1697,0.0012591725698829614
1696,0.0012186768981825916
1717,0.001206882791460484
1685,0.0009868314129365782
1723,0.0009593762617734145
1684,0.0008285704794731651
1077,0.0007794884459767973
1715,0.0006376938379634281
1720,0.0006242049631028018
1768,0.0005237304246859374
1701,0.00039108280622477087
1670,0.0003849892528987815
1688,0.00033923280392386733
1133,0.00030225295568300455
1713,0.0002966571003822252
1722,0.00029473662616418103
1700,0.00029139653621051493
1666,0.00025568968622097254
1693,0.0002540455707308054
1728,0.00023845922846318612
1731,0.0002219124180766183
1678,0.00020583866951076672
1730,0.00019082152944498038
1226,0.00018812432222947657
1674,0.00017773746760169618
1662,0.00017535119073708858
1711,0.00017190538138655672
1429,0.00017126579316413995
1714,0.00016983087858328739
1315,0.0001682435033303482
1709,0.00015864062576927208
1107,0.0001520068123248121
1747,0.00014160088504665922
1679,0.00012373368962732557
1751,0.00011238875237404194
1732,0.00010899826554788113
1146,0.00010502596649170572
1699,0.00010021150758366047
1733,8.054678186441109e-05
1149,6.131124724153806e-05
1743,5.22891150427427e-05
1682,4.185434500265021e-05
1692,3.977104665348553e-05
1744,3.9170513867117165e-05
1755,3.89274385281803e-05
1047,3.866568677079331e-05
1772,3.691183644207237e-05
1735,3.530148326322421e-05
1759,2.9922380561626387e-05
1763,2.8090939273933456e-05
1695,2.5012973522157454e-05
1739,2.4484225407156005e-05
1712,2.2282922493870068e-05
1710,2.0706409260910803e-05
1737,1.84984975319517e-05
1683,1.840110803231238e-05
1738,1.5935636464074473e-05
1690,1.4177255219698518e-05
1724,1.3828255439827231e-05
1748,1.2795392809227166e-05
1725,1.2524355514164869e-05
1734,1.2400689857895785e-05
1716,1.2301136877641149e-05
1689,1.1896624359749204e-05
1745,1.1288685904064197e-05
1729,1.0987905258844836e-05
1775,1.0890019607253418e-05
1767,1.0875895627968243e-05
1740,9.807201983478169e-06
1186,9.018170920133187e-06
1787,8.14083542797718e-06
1779,7.971114791672286e-06
1726,6.585320423325171e-06
1708,6.547741608198942e-06
1783,5.876852373631367e-06
1864,4.531203227149073e-06
1736,3.925477128172768e-06
1687,3.7407746503275917e-06
1741,3.730177756048221e-06
1686,2.953562756005582e-06
1750,2.9000882184639363e-06
1669,2.810320119807218e-06
1771,2.279145387720046e-06
1790,2.1629763593929396e-06
1746,1.9647523205673127e-06
1672,1.4823136972442856e-06
1680,1.3859524338815022e-06
1270,1.369262517713479e-06
1721,1.3326557455555397e-06
1816,1.2561561220859726e-06
1769,1.1611829329463411e-06
1776,9.724686434833876e-07
1770,8.913486837719636e-07
1698,8.565933159754481e-07
1836,8.517158168879154e-07
1865,8.445551736329814e-07
1663,7.531648597882399e-07
1819,6.398639207839289e-07
1754,6.154595320009958e-07
1727,6.139544202757789e-07
1873,4.508940214152884e-07
1752,4.401417591362179e-07
1765,4.37206763695479e-07
1761,4.365373035731287e-07
1812,4.3239833756751206e-07
1789,4.251042461129842e-07
1808,3.7843776965953146e-07
1963,3.777825481876878e-07
1760,3.703540111231112e-07
1913,3.6989667823656134e-07
1867,3.690622806009043e-07
1773,3.541216462754221e-07
1839,3.439723160030304e-07
1774,2.937342926345114e-07
1681,2.890212788615291e-07
1369,2.8899093465157384e-07
1758,2.7007710373011336e-07
1817,2.6545195106924835e-07
1757,2.649725710203066e-07
1807,2.4999129961282043e-07
1668,2.46317061263395e-07
1824,2.1985256338381573e-07
1756,2.1029444433914507e-07
1785,2.0226555657284271e-07
1849,1.8884922347595418e-07
1903,1.864740282898284e-07
1665,1.7604168845328067e-07
1801,1.757679173327622e-07
1944,1.737794891731323e-07
1880,1.6487742670515536e-07
1923,1.62204467369385e-07
1935,1.6163787474412432e-07
1762,1.5928184297451664e-07
1830,1.4678359338143125e-07
1800,1.44954351310602e-07
1838,1.3771464136657236e-07
1664,1.3003131354410816e-07
1967,1.2473823488770119e-07
1842,1.171337971060864e-07
1859,1.1365426538048714e-07
1889,1.1278713644471622e-07
1874,1.096100720825603e-07
1843,1.0800569145892304e-07
1979,1.0745892995221775e-07
1847,1.06681065312874e-07
1852,1.060811027480322e-07
1924,1.0584660333352514e-07
1883,1.0310753138326815e-07
