mode,energy
6173,4.1369228370000475e-11
6189,3.317539998538666e-11
6180,1.572385612324342e-11
6185,6.916415483722636e-12
6176,6.296928751445242e-12
6188,3.3533191001050834e-12
6193,3.023144686262067e-12
6166,1.1024173759361186e-12
6158,1.0438088974775413e-12
6201,1.0330888631064718e-12
6181,8.677321475530909e-13
6169,6.406404650980041e-13
6196,5.95572445658623e-13
6168,4.838088377181773e-13
6174,4.353108391738697e-13
6203,3.891778192175211e-13
6150,3.748554984503393e-13
6164,3.4720613970284496e-13
6210,2.8319907914259166e-13
6142,2.715543774089825e-13
