mode,energy
2093,1.858797474138864e-05
2085,1.1489894524280874e-05
2089,8.35063025765247e-06
2078,8.216845207027548e-06
2084,7.70674353986641e-06
2087,4.414641426355302e-06
2076,3.7717056396153026e-06
2092,2.824253315559864e-06
2086,2.4452818409453268e-06
2805,1.4830806372339143e-06
2082,1.3113176096608245e-06
2072,6.994610881692617e-07
2501,5.275268628533904e-07
2889,4.34403691184555e-07
2083,2.876761528128746e-07
2074,2.3559140895593124e-07
2070,2.333498788044406e-07
2077,1.886278681694627e-07
2068,1.639221929420833e-07
2504,1.2182461568992803e-07
