mode,energy
3449,6.540841123394755e-09
3014,6.150616387822426e-09
3451,5.7487826554539865e-09
3016,4.9853174242170904e-09
3454,3.434127600197444e-09
3442,2.457884154307853e-09
3445,2.014814688646187e-09
3464,1.9143274435952335e-09
3265,9.01429192596566e-10
3266,9.002346677353907e-10
3457,7.984159513341268e-10
3309,7.813336534062341e-10
3282,6.609956822095491e-10
3015,6.159577617439261e-10
3312,5.351342904047455e-10
3244,4.738490086391928e-10
3283,4.718115128958928e-10
3437,4.6280921442185074e-10
3470,4.4413696210422385e-10
3335,3.9652838948329335e-10
