mode,energy
840,0.6460150988872736
836,0.3252837228091523
718,0.10310602471482071
851,0.036442011112575605
789,0.029474169249229052
880,0.012334438546349098
812,0.010443650412196947
826,0.010365890277419233
747,0.00796833172233445
918,0.0068488368674392884
803,0.005172872124179612
199,0.004987753718211696
204,0.0034806890438997184
269,0.0029087236370001356
963,0.002771710634448847
830,0.0027431790919140355
819,0.0018157549796008743
759,0.0016822004863429102
864,0.001200520445190254
281,0.0006832138199796649
236,0.0005602846928701841
883,0.0005299501121892807
808,0.00023780883900849736
300,0.00014980933010618673
989,0.00010561000772085274
781,6.455076968301326e-05
335,5.531223487638332e-05
940,5.521484379127796e-05
383,5.0276459483761414e-05
802,4.6207153692269225e-05
197,4.295675984571941e-05
445,3.852383991746269e-05
727,3.520669269809613e-05
834,3.3903355943124134e-05
273,2.952975077071545e-05
813,2.94827710616356e-05
898,1.9802195619472062e-05
595,1.8575688884987365e-05
829,1.1936515793424726e-05
515,8.739231532111435e-06
879,7.160815550217072e-06
839,6.433850221504562e-06
288,5.738177573942968e-06
314,5.631287542471132e-06
775,5.320031958506426e-06
263,5.155778633148306e-06
681,3.5758942374697565e-06
807,2.907266389416143e-06
835,2.5301163808864817e-06
878,2.4070619775093953e-06
480,2.1489483845530672e-06
414,2.069419014898821e-06
933,1.9324953152500994e-06
790,1.536171159652757e-06
985,9.466158225826444e-07
555,9.161967898363964e-07
215,8.97541753225895e-07
810,8.698914992099559e-07
850,7.188896762932325e-07
832,6.129178393186879e-07
842,5.45226225726128e-07
811,4.0276777638316687e-07
881,3.9485003172981526e-07
827,3.330541639810198e-07
841,2.405725327124768e-07
